financial_year,facility_type,category,no_of_units
2006,Childcare Centres,Sold,na
2006,Childcare Centres,Rented,13
2006,Education Centres,Sold,na
2006,Education Centres,Rented,15
2006,Social Service Centres,Sold,na
2006,Social Service Centres,Rented,13
2006,Residents' Committee Centres,Sold,na
2006,Residents' Committee Centres,Rented,17
2006,Day Activity Centres,Sold,na
2006,Day Activity Centres,Rented,3
2006,Medical Service Centres,Sold,na
2006,Medical Service Centres,Rented,7
2006,Neighbourhood Links,Sold,na
2006,Neighbourhood Links,Rented,6
2006,Senior Citizens' Centres,Sold,na
2006,Senior Citizens' Centres,Rented,1
2006,Town Council Offices,Sold,na
2006,Town Council Offices,Rented,1
2006,Student Care Centres,Sold,na
2006,Student Care Centres,Rented,6
2006,Hospice Care Satellite Centres,Sold,na
2006,Hospice Care Satellite Centres,Rented,1
2007,Childcare Centres,Sold,na
2007,Childcare Centres,Rented,5
2007,Education Centres,Sold,na
2007,Education Centres,Rented,16
2007,Social Service Centres,Sold,na
2007,Social Service Centres,Rented,5
2007,Residents' Committee Centres,Sold,na
2007,Residents' Committee Centres,Rented,15
2007,Day Activity Centres,Sold,na
2007,Day Activity Centres,Rented,11
2007,Neighbourhood Links,Sold,na
2007,Neighbourhood Links,Rented,1
2007,Rehabilitation Centres,Sold,na
2007,Rehabilitation Centres,Rented,3
2007,Kidney Dialysis Centres,Sold,na
2007,Kidney Dialysis Centres,Rented,1
2007,Senior Citizens' Centres,Sold,na
2007,Senior Citizens' Centres,Rented,1
2007,Study Centres,Sold,na
2007,Study Centres,Rented,1
2007,Youth Centres,Sold,na
2007,Youth Centres,Rented,1
2007,Community Centres,Sold,na
2007,Community Centres,Rented,2
2007,Hospice Care Satellite Centres,Sold,na
2007,Hospice Care Satellite Centres,Rented,1
2008,Childcare Centres,Sold,na
2008,Childcare Centres,Rented,6
2008,Education Centres,Sold,na
2008,Education Centres,Rented,7
2008,Social Service Centres,Sold,na
2008,Social Service Centres,Rented,5
2008,Residents' Committee Centres,Sold,na
2008,Residents' Committee Centres,Rented,11
2008,Day Activity Centres (Disabled & Senior Citizens),Sold,na
2008,Day Activity Centres (Disabled & Senior Citizens),Rented,11
2008,Diabetes Education & Care Centre,Sold,na
2008,Diabetes Education & Care Centre,Rented,1
2008,Rehabilitation Day Care Centres,Sold,na
2008,Rehabilitation Day Care Centres,Rented,2
2008,Kidney Dialysis Centres,Sold,na
2008,Kidney Dialysis Centres,Rented,3
2008,Medical Free Clinics,Sold,na
2008,Medical Free Clinics,Rented,3
2008,Satellite Fire Post,Sold,na
2008,Satellite Fire Post,Rented,1
2008,Senior Citizens' Centres,Sold,na
2008,Senior Citizens' Centres,Rented,1
2008,Student Care Centres,Sold,na
2008,Student Care Centres,Rented,2
2008,Student Service Centres,Sold,na
2008,Student Service Centres,Rented,1
2008,Dyslexia Learning Centres,Sold,na
2008,Dyslexia Learning Centres,Rented,2
2009,Childcare Centres,Sold,na
2009,Childcare Centres,Rented,21
2009,Education Centres,Sold,na
2009,Education Centres,Rented,15
2009,Social Service Centres,Sold,na
2009,Social Service Centres,Rented,6
2009,Residents' Committee Centres,Sold,na
2009,Residents' Committee Centres,Rented,16
2009,Day Activity Centres (Disabled & Senior Citizens),Sold,na
2009,Day Activity Centres (Disabled & Senior Citizens),Rented,2
2009,Rehabilitation Day Care Centres,Sold,na
2009,Rehabilitation Day Care Centres,Rented,1
2009,Kidney Dialysis Centres,Sold,na
2009,Kidney Dialysis Centres,Rented,1
2009,Medical Free Clinics,Sold,na
2009,Medical Free Clinics,Rented,1
2009,Senior Citizens' Centres,Sold,na
2009,Senior Citizens' Centres,Rented,2
2009,Student Care Centres,Sold,na
2009,Student Care Centres,Rented,2
2009,Youth Centres,Sold,na
2009,Youth Centres,Rented,1
2010,Childcare Centres,Sold,na
2010,Childcare Centres,Rented,80
2010,Education Centres,Sold,na
2010,Education Centres,Rented,9
2010,Social Service Centres,Sold,na
2010,Social Service Centres,Rented,8
2010,Residents' Committee Centres,Sold,na
2010,Residents' Committee Centres,Rented,22
2010,Day Activity Centres (Disabled & Senior Citizens),Sold,na
2010,Day Activity Centres (Disabled & Senior Citizens),Rented,12
